t,qx,qy,qz,qw
0.0,-0.9610037915995512,-0.05039435867360129,-0.19511144504143507,0.189376992158514
0.02,-0.9596261990203481,-0.04804612530937819,-0.20086839250883642,0.19094768102134901
0.036,-0.9585416244625209,-0.046145532784965936,-0.20519618384027474,0.19225782198426
0.06,-0.9569479975220598,-0.04325200044935301,-0.21122474574336964,0.1943293628901658
0.08,-0.9556559650837673,-0.040796559088228095,-0.21583152889331056,0.1961480774872654
0.1,-0.954402200172624,-0.03829161056836754,-0.22006899152691628,0.1980399753435178
0.124,-0.9529446940487069,-0.03522174929154733,-0.2247134502365316,0.2003988616336276
0.144,-0.9517520099581344,-0.03262239655598485,-0.22830734210428277,0.20243430619554936
0.16,-0.9508098185072994,-0.0305163608756678,-0.23102037812122028,0.20410542776161233
0.18,-0.9496509321867004,-0.02784525599681282,-0.23420220821716617,0.2062451802627303
0.196,-0.9487412430661796,-0.025673837421527023,-0.2365763164806984,0.20799652462894175
0.216,-0.9476296124726173,-0.02290995911624004,-0.23932396519781973,0.21023151766631518
0.232,-0.9467597261517878,-0.020658479944545168,-0.2413487567507352,0.21206137262181207
0.252,-0.9456975528790365,-0.017790310644674824,-0.24367334591339743,0.21438970081871422
0.276,-0.9444601313654564,-0.014265230816581485,-0.2461715365780231,0.21723521360430914
0.3,-0.9432645590754293,-0.010641759676396773,-0.24835911122004903,0.22012831807201305
0.316,-0.9424907359125971,-0.00816642632779716,-0.24965002988046597,0.2220796811521628
0.336,-0.9415496087844563,-0.005000772855416174,-0.2510806310990848,0.2245391795557544
0.36,-0.9404536288972285,-0.0011008374877562615,-0.2525400373354725,0.22752865664231783
0.376,-0.9397402151144124,0.0015584939492864233,-0.25336988515599607,0.22954215405751807
0.4,-0.9386979216069864,0.005643689488531285,-0.254406436843484,0.23257627916940155
0.42,-0.9378476448496924,0.009127875367515947,-0.2551076783032484,0.23511390731278925
0.448,-0.9366472850043717,0.014089322492092314,-0.25600400289202413,0.238653105969551
0.472,-0.9356236083189541,0.018435396435234154,-0.25673429402832115,0.24157007675677813
0.492,-0.9347561200683834,0.02210646911828932,-0.2572866012353977,0.2440202959644171
0.508,-0.9340579787344665,0.025079139831187418,-0.2576783203264164,0.24598498397578575
0.524,-0.9333575965357934,0.0280818250065061,-0.25801865983113403,0.24795438949971552
0.548,-0.9323028116207633,0.032638232218195375,-0.25842417009658675,0.2509246132837135
0.568,-0.9314198204824156,0.03647774803938525,-0.2586608229905062,0.25341876520959156
0.584,-0.9307096698654381,0.03957067333131945,-0.2587724156487033,0.2554417920591853
0.6,-0.9299879030453356,0.042670684566824435,-0.25879948834866684,0.2575355076458515
0.616,-0.9292610463642429,0.045779795597853654,-0.2587537090531338,0.2596625426901183
0.632,-0.9285352201410778,0.04890323537410616,-0.25863679149339547,0.2617973044427822
0.648,-0.9278102849067024,0.052037301935587296,-0.2584493381896455,0.26393964086120647
0.668,-0.9268955511006898,0.05595633648406314,-0.2581086115654469,0.26667109028312036
0.692,-0.9257991872623572,0.06066683790753583,-0.2575566383434967,0.26996291909789577
0.712,-0.9248922749153752,0.06460008661625415,-0.25697781332128694,0.27269674011921075
0.732,-0.9239905233078348,0.06852783113530954,-0.25628159392370853,0.2754363698082144
0.752,-0.9230927869552124,0.07244075798958582,-0.2554706570056429,0.27818480667041917
0.772,-0.9222015634465658,0.07634760808380382,-0.25456263256686773,0.2809149074314454
0.792,-0.9213144797736172,0.0802416872232287,-0.25356913471665604,0.2836258008540212
0.812,-0.9204146931906734,0.08409547669025866,-0.252555206560883,0.28632256459794897
0.836,-0.9193035095212201,0.08864448211833795,-0.25136545498635776,0.2895489962190184
0.856,-0.9183563507967313,0.09237824207060828,-0.2503832700303338,0.29222609642564784
0.88,-0.9172122946382832,0.09680936804293287,-0.24921461151159371,0.2953669416719285
0.896,-0.9164430433036979,0.09972762047998755,-0.2484125229975148,0.29745212810075083
0.912,-0.9156689756344011,0.10261608330425465,-0.24758407596639753,0.2995369623866244
0.932,-0.9146962565427649,0.1061841249597814,-0.24650507062448845,0.302143906159952
0.948,-0.9139195300904801,0.10900631624518133,-0.24560556142434367,0.30421476580745466
0.972,-0.9127532024804423,0.1131787886597355,-0.24416707797686105,0.30733465667160453
0.996,-0.9115739838715666,0.11725970749910844,-0.24260087270523997,0.3105283392677716
1.016,-0.9105992370167267,0.12060385491220818,-0.241208130100766,0.31318106216398556
1.036,-0.9096330352492221,0.12389491695132318,-0.23972319914138776,0.31583314982808686
1.052,-0.9088653425731182,0.12648812369219356,-0.23845726010173854,0.3179664742375346
1.072,-0.9079166362624561,0.12968313029777234,-0.2367708087571019,0.32063881772883623
1.092,-0.9069872536686457,0.13283168657414335,-0.23496724898376964,0.32329592733202756
1.116,-0.9058799877013026,0.13651437104581468,-0.2325952615998024,0.3265650297591173
1.132,-0.9051475656564747,0.13891709113328596,-0.2309043694732281,0.32877514859763235
1.152,-0.9042276417752588,0.1418440329831602,-0.22873235707532025,0.33156319304680776
1.172,-0.9033008068779351,0.14468299747421345,-0.2265077316848671,0.3343781243181504
1.192,-0.9023718012978176,0.14744672205264645,-0.22421988870163737,0.3372091901017632
1.212,-0.9014459687229116,0.15015290345420063,-0.2218568764032883,0.3400423465541626
1.236,-0.9003330570212019,0.15332928126969148,-0.21887824171865533,0.34348629265565606
1.252,-0.8995951741951597,0.1554174199284724,-0.21680421083820817,0.34578878280010633
1.272,-0.8986818333528842,0.1580111012856981,-0.21411666546235697,0.3486509828514196
1.288,-0.8979583632073387,0.16007834204393348,-0.21188203091942107,0.35092977549350846
1.308,-0.8970627762510763,0.16266147515994112,-0.20898393337610366,0.35375886639652676
1.336,-0.8958260825299315,0.16629987605834845,-0.2047348843404956,0.3576640997026935
1.356,-0.8949523742716361,0.1689271451253297,-0.20156058241409838,0.3604125400735339
1.38,-0.893912246302103,0.17212319492607053,-0.19759695047241785,0.3636618578344056
1.404,-0.892875918023156,0.1753729987856532,-0.19347648154509386,0.3668565896916189
1.424,-0.8920154056308841,0.17812493277392952,-0.18993625786896137,0.36946480534441684
1.44,-0.8913282751248175,0.18033866570436452,-0.18708755498653143,0.37149713105776316
1.46,-0.8904519656249755,0.18309548024215141,-0.18351374417615857,0.3740241272003195
1.48,-0.8895583003110198,0.18584493512027397,-0.1798962011567027,0.3765435529222321
1.5,-0.8886455934177754,0.18858447378329696,-0.17619625006510145,0.3790775474886941
1.516,-0.887907434395451,0.19078371596909557,-0.17318515590175673,0.3810890492281244
1.54,-0.886784648303634,0.19409947633768868,-0.16856448293038445,0.3840890468535224
1.56,-0.8858318835711979,0.19688106347922227,-0.16461387415034678,0.38657727989265994
1.576,-0.885052540394518,0.19911983531067062,-0.16138070881819955,0.38857374943297074
1.596,-0.8840637069050971,0.20194695359503587,-0.1572568681963331,0.3910486766017555
1.612,-0.883249377542566,0.2042265986423602,-0.15387356051241835,0.3930457490583928
1.628,-0.882422242470781,0.20653018060573602,-0.15043358326964068,0.3950265908979499
1.652,-0.881157523290964,0.21003282214669688,-0.14516759394262638,0.3979623128359482
1.668,-0.8802978873172008,0.21240409982297231,-0.1415819743355984,0.399893326409056
1.684,-0.879425028974774,0.21480681835066137,-0.13793380540822858,0.40180083938238476
1.708,-0.8780881749587196,0.21847681996435653,-0.13233391535353833,0.4046192914124705
1.728,-0.8769464018437451,0.22159442967878015,-0.12753861443118913,0.40693343295632217
1.748,-0.8757668611301397,0.2247505397345661,-0.12258925931284863,0.40925722148352034
1.772,-0.8743144072412179,0.22859372147750465,-0.11654690224535051,0.4119903486351539
1.788,-0.8733233918073973,0.23115617653539408,-0.11251636210746878,0.41377910003969753
1.808,-0.8720535394499724,0.2343604160410487,-0.10745962910446487,0.41599308628698733
1.828,-0.8707493174692688,0.23757784893687475,-0.10237249131733446,0.4181773126830441
1.844,-0.8696815244984849,0.24016989141063855,-0.09827614953492823,0.41989792526086833
1.864,-0.8682819742907065,0.24340968169003116,-0.09302863635737514,0.422118245043824
1.884,-0.8668208454941483,0.2466693960465292,-0.08767558271525765,0.42436873478896936
1.9,-0.8656217929819476,0.24930821435950246,-0.08335993245353303,0.4261401734511043
1.92,-0.8640820480926681,0.25264636680945207,-0.07792417426918141,0.4283221341075315
1.94,-0.8624955766102362,0.25602847801611117,-0.07245520030718518,0.43046607615580523
1.956,-0.8611921941109054,0.2587716064326505,-0.06806959235820927,0.4321478810579747
1.972,-0.8598583893580101,0.2615514960719041,-0.06368156627838291,0.43379606184188596
1.992,-0.85812967874688,0.2650565864671716,-0.05813185049296732,0.43586597525203863
2.012,-0.8563704192106335,0.2686258817786969,-0.05263576911676288,0.4378348050910393
2.028,-0.8549226852504963,0.27152193925102713,-0.048251836622057315,0.43938001662802195
2.052,-0.8526801012314784,0.27593332705043955,-0.04170737725862772,0.44165364106838
2.068,-0.8511372959977965,0.2789184101421959,-0.037380444387200965,0.44313939818382697
2.088,-0.849153082475787,0.28270049527828944,-0.03202705711065247,0.44496487513522937
2.112,-0.8466768277211064,0.2872762134646925,-0.025681027541232585,0.4471590448620477
2.132,-0.844534156382325,0.29108347142436075,-0.020510262701677502,0.44901202711179816
2.148,-0.8427720685463217,0.2941316893166843,-0.016456779462794138,0.4505007927047193
2.172,-0.8400463255336202,0.2987115030114442,-0.010482580158793435,0.4527512832000825
2.196,-0.8372217584635125,0.30330408933181785,-0.0046269052376644955,0.45502192067831454
2.212,-0.835287195095168,0.30637710010569397,-0.0007938921247607754,0.45653887455086073
2.232,-0.8327972763368398,0.3102251063641234,0.0039778484159028096,0.4584683812754049
2.248,-0.8307508217903561,0.31331268472115953,0.0077783565685095755,0.46003014124789754
2.264,-0.8286619451926931,0.3164114941799741,0.011548291705091859,0.46159482655133016
2.28,-0.826528450198312,0.31951842472190806,0.015301899679400998,0.4631679491741721
2.304,-0.8232484488271102,0.3241957867083526,0.020890462228435467,0.4655348235870133
2.328,-0.8198749543193427,0.3288910256026468,0.02641620107577399,0.46790804318649964
2.344,-0.8175759029421318,0.3320315186018629,0.030061466582764214,0.46949017221896366
2.364,-0.8146419148247063,0.3359615451594594,0.034607449349212664,0.4714771630040488
2.38,-0.8122484579056615,0.3391112879634461,0.03822106512382461,0.4730698967239915
2.4,-0.8092045077324198,0.34304405203733435,0.0426943130351585,0.47506424687803533
2.424,-0.8054948380869096,0.34769903789458334,0.04791652983950419,0.4774803148095892
2.448,-0.8017187882669562,0.35228639842448634,0.05301382307046933,0.47992792436814974
2.464,-0.7991639793417525,0.3553130446545865,0.05636005872296582,0.4815735854484614
2.48,-0.796575157384806,0.3583134152128149,0.05968751252260984,0.48323588025390224
2.5,-0.7932788142052069,0.36201937751937696,0.0638656586960463,0.48535746710335465
2.52,-0.7899391445019707,0.3656895017522501,0.06801345517084445,0.48748487792690487
2.54,-0.7865560082124847,0.36932667014531667,0.07214546198011657,0.4896146331349686
2.564,-0.7824462298407459,0.3736503673011013,0.07707825440472355,0.49216078990679013
2.58,-0.7796759350006477,0.37650948350641356,0.08035637250163499,0.49385108950874856
2.596,-0.7768818635124638,0.37934970118007333,0.08363326360684364,0.4955339055790825
2.616,-0.7733380674100161,0.3828547554089373,0.08780271367221898,0.49765565728433014
2.636,-0.7697643372201921,0.38632829456494205,0.09197329229082112,0.4997541670338416
2.652,-0.766881891525825,0.38908440353394613,0.09531760303916156,0.5014180351037197
2.668,-0.7639780322618414,0.3918192846016267,0.09867157156408836,0.5030697122672637
2.688,-0.7603270999512148,0.3952087932789573,0.1028604491706641,0.5051063638395136
2.704,-0.7574062969473877,0.3979032060050051,0.10617205039827173,0.5066914600717196
2.724,-0.7537287231940065,0.4012425565130099,0.11031831275351191,0.508652428035545
2.74,-0.7507612070769205,0.40386331367974926,0.11366076589534298,0.510228639051261
2.768,-0.7455508092659201,0.40830993793541254,0.11944641058410946,0.5130005266904545
2.788,-0.7418113194779137,0.41139411032881296,0.12356172938573007,0.5149789814277946
2.808,-0.7380536518853913,0.41441388562605436,0.12768648885340741,0.5169469014349944
2.824,-0.735034044644691,0.4167902293440349,0.13100115572390095,0.5185070444416504
2.844,-0.7312202915768169,0.41971115123405855,0.1352097937570951,0.5204591688002624
2.864,-0.7273667350405132,0.422585222177891,0.13950405821379794,0.5223963825441823
2.884,-0.7234823465131337,0.4254218818627343,0.14387217746611616,0.5242998314584683
2.908,-0.7187951050933141,0.4287905732781662,0.1491830442766126,0.5265136849712793
2.928,-0.7148731978109775,0.43156912244381124,0.1536596592906424,0.5282926392741711
2.948,-0.7109342241693517,0.4343249547701499,0.1581914541602205,0.5300092701069522
2.964,-0.7077731003070056,0.4365142832230007,0.16185343052254622,0.5313341566775118
2.992,-0.7021953412896815,0.44029042105140626,0.16841786135557782,0.5335742420487111
3.016,-0.697390011829642,0.4434840533839641,0.1741541984179924,0.5353871318660616
3.036,-0.6933823044708624,0.446097160861838,0.17896866824180385,0.5368319277999761
3.056,-0.6893898139688569,0.44862315726097535,0.18376035468972818,0.5382481576461589
3.076,-0.6854104892040627,0.45106876068265406,0.18852652396573175,0.5396361590800421
3.096,-0.6814454350846779,0.4534438052955497,0.19327028778215374,0.5409874585440493
3.112,-0.6782681930947114,0.4552852447057528,0.19709663083813558,0.542052139836671
3.128,-0.6750862441930187,0.4570828310188844,0.20094009521378664,0.5430993708563843
3.148,-0.6711141091904321,0.4592845482348609,0.20573986848046508,0.5443662946177632
3.164,-0.6679376838525786,0.4610161394544842,0.20957817012723304,0.5453442584810598
3.184,-0.663968991585606,0.4631464061645358,0.21437339604007852,0.5465204769630432
3.204,-0.6600033429583348,0.4652418981374637,0.21915925579572798,0.5476447608626738
3.224,-0.6560402021000548,0.46730549478082417,0.22393321027568494,0.548717363596045
3.244,-0.6520787184024488,0.4693401182101131,0.22869696483161647,0.5497371160126842
3.264,-0.6480958795700777,0.4713447004667982,0.23348213667020512,0.5507195257861004
3.284,-0.6441091495843307,0.47333081592949416,0.23825687416018948,0.5516475360487759
3.3,-0.6409141893908392,0.4749109635338907,0.24207416137690743,0.5523483311701611
3.316,-0.6377140470275179,0.4764844890454676,0.24589281137478727,0.5530099919866437
3.336,-0.6337128603068541,0.47844684931590603,0.2506610724934327,0.5537740060691098
3.356,-0.6297055335743267,0.48040334512279137,0.25543975825072696,0.5544673992991066
3.376,-0.6256924067483018,0.4823542623242167,0.26023208983624646,0.5550879544492371
3.392,-0.6224724202169051,0.4839087242475298,0.26408554025119757,0.555535111488617
3.412,-0.6184327857347074,0.4858151397549035,0.2689375398095448,0.556054978571834
3.432,-0.6144218369346224,0.48765684698876893,0.27375848976308736,0.5565365173692471
3.456,-0.6096429251822816,0.489794447418258,0.2795218225650064,0.5570497767375654
3.48,-0.6049054614142455,0.4918836237703749,0.2852671904196068,0.557460773048514
3.5,-0.6009638201896047,0.49358923754679046,0.2900973170786619,0.557723675331124
3.52,-0.5970467197266616,0.4952668095711159,0.29494562364027854,0.5579006012690151
3.536,-0.5939309424495206,0.4965893081437855,0.2988440665386462,0.5579760913631927
3.556,-0.5900583189494821,0.4982194640389167,0.303743658577665,0.5579859637707214
3.576,-0.5862150813306061,0.4998186815124246,0.30867635663348203,0.557899696080946
3.596,-0.582408483836034,0.5013827976095945,0.31364178214279514,0.5577136189042546
3.616,-0.5786406976151538,0.5029003283910838,0.318651522712506,0.5574292868522337
3.632,-0.5756669873841737,0.504092808676029,0.32266308510732106,0.5571234094760046
3.648,-0.5727226847210478,0.5052567787903576,0.3266993222303939,0.5567511713023229
3.664,-0.5698080688863657,0.5063921621550027,0.33076160056090337,0.5563115191458484
3.684,-0.5662067641007479,0.5077745574692054,0.3358798666068094,0.5556614205446557
3.708,-0.5619577379185045,0.5093968424721431,0.34205899359058717,0.554719751385078
3.728,-0.5584735019149611,0.5107099989817547,0.3472551026240412,0.55380189445366
3.748,-0.5550508754941352,0.5119603705648424,0.3524909457710883,0.5527795561828485
3.772,-0.5510615324088352,0.5133532149612486,0.35875453081389425,0.5514479583865362
3.788,-0.5484644064708042,0.5142235171248413,0.36293180031644856,0.5504920322669967
3.808,-0.5452726047274831,0.515256390964565,0.3681758908442131,0.5492132113350402
3.832,-0.5415090532402143,0.5164374778198635,0.37451472414799264,0.5475390380222198
3.852,-0.5384211311077364,0.5173872607565685,0.3798455947616931,0.5460132160704685
3.872,-0.535357720423678,0.5182978565947417,0.38525035817164455,0.5443726706592453
3.888,-0.5329312766686668,0.5190103383107331,0.38960739035579717,0.5429720107473578
3.908,-0.5299247276187826,0.5198851224058332,0.3950935272750706,0.5411102912203519
3.932,-0.5263532223704454,0.520922972444378,0.40172637597774996,0.5387090689080201
3.948,-0.5239887059023163,0.5216087108777762,0.40617900451581984,0.5370091294510533
3.964,-0.5216379016711248,0.5222901835232961,0.41065016528674647,0.5352320108937014
3.988,-0.5181321583688805,0.5232916619157603,0.4174144266981387,0.5324191012893049
4.004,-0.5158083434785875,0.5239518926836024,0.4219489528627928,0.5304481578148228
4.024,-0.512918910517967,0.5247731181838869,0.4276297621950345,0.5278827068105567
4.044,-0.5100460613594469,0.525591862540297,0.43331621374797097,0.5252078333633838
4.064,-0.5071908542422194,0.5264106222505625,0.43899809062757994,0.5224270002403805
4.08,-0.5049241627276488,0.5270550606377171,0.443527505122921,0.5201421970474923
4.1,-0.5021439080726984,0.5278131579803249,0.44913171823107934,0.517247972956021
4.12,-0.49939311670204745,0.5285056828882121,0.4547183339833681,0.5143145874704218
4.136,-0.49722070152742104,0.5290314221486118,0.459151631418495,0.5119346713377904
4.156,-0.49453290426273994,0.5296695199967472,0.464644259430185,0.5089136649437213
4.176,-0.49186933419562423,0.5302921991380825,0.47008200130949046,0.5058435070811068
4.196,-0.48922728142162286,0.5309061485290489,0.4754583672234415,0.5027272318107293
4.224,-0.48556465875043114,0.531757526480277,0.48287021117961376,0.49829434510087517
4.244,-0.4829742661198102,0.5323576010530471,0.48808402414720353,0.49508103199309483
4.26,-0.48091909879817946,0.5328348321815305,0.49220172213066105,0.4924848492662885
4.276,-0.47887667995318883,0.5333115772646451,0.4962743955715644,0.4898648908143818
4.296,-0.4763371476122764,0.5339059953121372,0.5013091571955329,0.4865556893987174
4.32,-0.4733085295490318,0.5346162376733051,0.5072674976199658,0.48253932495761565
4.34,-0.470801837970533,0.5352061582455778,0.5121606766161595,0.4791570085761612
4.364,-0.4678022724018093,0.5359010257197125,0.5179769055594708,0.4750484710798453
4.38,-0.46582612731008205,0.5363425055306941,0.5218068929304168,0.4722926024898689
4.4,-0.4634168342508983,0.5368442686108219,0.5265132805755162,0.4688569444619488
4.416,-0.4615280728121098,0.5372116430687801,0.5302263094586044,0.4661068003318446
4.432,-0.459668011920319,0.5375570571314623,0.533896369063636,0.4633491083902603
4.452,-0.4573775258828911,0.5379640211166395,0.538427791550729,0.45988696881632324
4.48,-0.4542323673566011,0.5385029555645057,0.5446759988620421,0.4549896477476676
4.5,-0.45203362764956595,0.5388627746413143,0.5490904975167268,0.4514334226845321
4.524,-0.4494240493199539,0.5392815107104519,0.5543328475511621,0.44711136221810394
4.544,-0.44726707186687903,0.5396290281666225,0.5586564015558686,0.44345879558784584
4.564,-0.44511771830303115,0.5399789792771407,0.5629432366002203,0.43975883295004914
4.584,-0.44296474278871206,0.5403320854449579,0.5671970664653735,0.4360171577792643
4.604,-0.4407998802765315,0.5406910429413759,0.5714224067734919,0.4322326857936043
4.62,-0.4390594886980254,0.5409936519047361,0.5747712237850869,0.42917441010805785
4.644,-0.43641783567611026,0.5414659894876458,0.5797602858777368,0.4245374728465196
4.66,-0.434630846806069,0.5417947246587449,0.5830645494917126,0.42141456365747565
4.676,-0.43282166582599463,0.5421345217434109,0.5863499143507214,0.41826946322503167
4.7,-0.4300701904415696,0.5426691403496099,0.5912349137948223,0.4135107158415567
4.72,-0.42773488471554005,0.5431324625616487,0.5952740518663712,0.409510439041175
4.74,-0.425365684218866,0.5436167645734429,0.5992768175842432,0.40547767370080895
4.76,-0.4229908453808594,0.5440947616504745,0.603236619025917,0.401428968230595
4.78,-0.4206426946883763,0.5445427393242112,0.6071378235443242,0.3973872062314625
4.8,-0.41830853952004327,0.5449684596722689,0.6109910530264255,0.3933411710572677
4.82,-0.4159802539753945,0.5453875622777614,0.6147977983921208,0.3892768967039896
4.84,-0.4136481825423168,0.5458080389760022,0.6185671300604362,0.38517979084760484
4.856,-0.41176483333534986,0.5461314999464411,0.6215845427978307,0.38186746778087
4.88,-0.40888868244152543,0.546572395356562,0.626158397456307,0.3768213413547237
4.9,-0.4064715813046704,0.5469414812058976,0.6299517244973608,0.37255428400540597
4.916,-0.4045238481397428,0.5472313467736263,0.6329814836235635,0.3690972104801795
4.932,-0.4025632739473499,0.5475134702123752,0.6360097804766198,0.36560001305097806
4.956,-0.39960299056656357,0.5479197770412472,0.6405436104572468,0.36028495799814303
4.976,-0.3971195534942331,0.5482223009896025,0.644328510514258,0.3557936754197362
4.996,-0.3946290041557481,0.5484987352953965,0.6481075953124711,0.35124582752920985
5.012,-0.3926345134224666,0.5487063162296085,0.651116879049938,0.34757204607894515
5.036,-0.389645103258044,0.5489941012584432,0.6556030503077742,0.34200410921157764
5.056,-0.3871624359654978,0.5492119601571639,0.6593077350922496,0.33731999858460165
5.072,-0.385181473245441,0.5493688879057746,0.6622513000509367,0.3335450093323066
5.092,-0.3827329258350242,0.5495335733587434,0.6658948101511475,0.32880459401763196
5.112,-0.38036669057141415,0.5496433472826013,0.6694705908434814,0.3240717505235651
5.128,-0.3785251042868239,0.5496942614078537,0.6722895148162362,0.3202838938630433
5.148,-0.37627280951500647,0.5497134937938944,0.675774785656466,0.31553492141370193
5.172,-0.3736286683228949,0.549678239173853,0.6799090299132832,0.30980503970783163
5.192,-0.3714685533493754,0.5495920658911839,0.6833284377023817,0.30499495276021393
5.208,-0.36976579836650303,0.5494917702948146,0.6860455505033484,0.30112049311066663
5.232,-0.36724670663722997,0.5492976979695542,0.6900849613292023,0.29527045503526145
5.248,-0.3655899399740766,0.5491400413391851,0.6927525639434636,0.29134703694650244
5.268,-0.3635464399746847,0.5489092730571382,0.696061566669497,0.2864103548044703
5.288,-0.3615275861060403,0.5486394140200106,0.6993485159679024,0.28143249826843314
5.304,-0.3599330067291576,0.5483941775725022,0.7019616613541333,0.27742004732973496
5.32,-0.35835994151831657,0.5481150512796784,0.704565210553765,0.2733786878178204
5.348,-0.35566224910271776,0.5475537673784282,0.7090902994102375,0.26623332562845353
5.368,-0.3537629666443214,0.5470674458029187,0.7123350240267979,0.2610513105089123
5.388,-0.35190473063350614,0.5465296192412578,0.7155589237156066,0.2558199807300598
5.408,-0.3500897479159346,0.5459387139778393,0.7187613289690424,0.2505398989443324
5.428,-0.34834649185656086,0.545290197105526,0.7219251554332368,0.245229265187784
5.448,-0.346727335815282,0.5445670803850409,0.7250265113643222,0.23992375325971743
5.472,-0.34492810323772716,0.5436154568967344,0.7286683069213273,0.23355799517076048
5.492,-0.34352428467709273,0.5427400769248507,0.7316660550187275,0.22823027553335568
5.516,-0.34193721251737624,0.5416184539544633,0.7352069855269316,0.22180865957898463
5.536,-0.3406805875537481,0.5406460898837131,0.7381012272505459,0.21643733755690805
5.556,-0.339470659183821,0.5396438443015561,0.7409465600302674,0.21105067647381173
5.588,-0.33759554442055406,0.5379807731553906,0.7454134783336884,0.20239733797901063
5.604,-0.3366607167991697,0.5371027666296331,0.7476337354080416,0.19805044186489892
5.628,-0.33525619328731077,0.5357501587501078,0.7509310862305704,0.19151385326996967
5.648,-0.33407851980932074,0.5346026068000342,0.7536414582734374,0.18605415280532733
5.668,-0.3328847160241346,0.5334460815780078,0.7563150202534965,0.18058414666175435
5.684,-0.33191483751137557,0.5325175810702104,0.7584258086773388,0.1762040272611668
